!CSV A.01.01
!Keysight Technologies,N5222B,MY57181453,A.13.95.07
!Date: Tuesday, August 15, 2023 08:11:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB)
3000000000,-15.814491
3008000000,-18.075106
3016000000,-28.239412
3024000000,-12.665692
3032000000,-11.498589
3040000000,-18.625923
3048000000,-18.592543
3056000000,-12.651088
3064000000,-16.554213
3072000000,-22.114267
3080000000,-16.553623
3088000000,-16.056301
3096000000,-22.904736
3104000000,-17.51173
3112000000,-11.960824
3120000000,-17.093214
3128000000,-13.203077
3136000000,-8.7414055
3144000000,-10.33594
3152000000,-11.396209
3160000000,-8.0971584
3168000000,-7.457778
3176000000,-10.818494
3184000000,-9.9342699
3192000000,-9.6964283
3200000000,-11.274692
3208000000,-14.654791
3216000000,-12.163195
3224000000,-14.084577
3232000000,-15.977522
3240000000,-15.531843
3248000000,-14.96726
3256000000,-17.586605
3264000000,-15.31837
3272000000,-14.271151
3280000000,-16.176476
3288000000,-15.234664
3296000000,-13.978591
3304000000,-15.133805
3312000000,-15.431273
3320000000,-14.591992
3328000000,-16.855885
3336000000,-16.246731
3344000000,-15.135326
3352000000,-13.958841
3360000000,-17.760344
3368000000,-17.434559
3376000000,-15.343464
3384000000,-16.56093
3392000000,-18.145432
3400000000,-17.359509
3408000000,-13.439538
3416000000,-19.404581
3424000000,-16.437008
3432000000,-13.830497
3440000000,-17.322657
3448000000,-15.6586
3456000000,-13.76722
3464000000,-14.6682
3472000000,-15.360731
3480000000,-13.773835
3488000000,-14.521475
3496000000,-14.760114
3504000000,-12.298282
3512000000,-10.413916
3520000000,-11.323767
3528000000,-11.591644
3536000000,-10.218308
3544000000,-11.314327
3552000000,-12.049063
3560000000,-10.389015
3568000000,-11.058769
3576000000,-10.647888
3584000000,-9.9481554
3592000000,-9.5327005
3600000000,-9.6567993
3608000000,-9.688983
3616000000,-9.4950848
3624000000,-11.781281
3632000000,-11.028063
3640000000,-11.737334
3648000000,-14.174804
3656000000,-11.867998
3664000000,-12.403805
3672000000,-12.01652
3680000000,-10.006185
3688000000,-9.0380116
3696000000,-8.0673256
3704000000,-8.2607164
3712000000,-6.5272179
3720000000,-6.6270103
3728000000,-7.5285001
3736000000,-6.7373066
3744000000,-6.2864566
3752000000,-6.3549361
3760000000,-6.1882286
3768000000,-5.4142427
3776000000,-4.9722133
3784000000,-5.6983266
3792000000,-5.7977338
3800000000,-4.7859411
3808000000,-4.9287605
3816000000,-3.9909198
3824000000,-2.4123499
3832000000,-2.7172146
3840000000,-3.3604743
3848000000,-2.9141614
3856000000,-2.9031596
3864000000,-4.3358474
3872000000,-3.5304551
3880000000,-3.4968007
3888000000,-3.5746713
3896000000,-3.6366363
3904000000,-4.2651558
3912000000,-5.190331
3920000000,-3.8615696
3928000000,-4.1096549
3936000000,-3.9152584
3944000000,-2.8746352
3952000000,-3.0791435
3960000000,-3.0360222
3968000000,-2.4405115
3976000000,-1.7131538
3984000000,-1.9458584
3992000000,-1.6026413
4000000000,-0.77197951
4008000000,-0.84888721
4016000000,-1.2040305
4024000000,-0.46849322
4032000000,-0.18226343
4040000000,-0.22976065
4048000000,0.081981681
4056000000,-0.19363664
4064000000,0.30968091
4072000000,0.29223853
4080000000,0.32994625
4088000000,0.87818336
4096000000,1.4413321
4104000000,1.6051223
4112000000,2.130506
4120000000,2.2712226
4128000000,2.908397
4136000000,2.883364
4144000000,2.8141477
4152000000,3.1564164
4160000000,3.58253
4168000000,3.2185905
4176000000,3.1735184
4184000000,3.8743114
4192000000,3.2871037
4200000000,3.4108109
4208000000,3.9203503
4216000000,3.6946146
4224000000,3.6915481
4232000000,3.5358398
4240000000,3.7591071
4248000000,3.574024
4256000000,3.5892017
4264000000,4.0193458
4272000000,3.9461513
4280000000,3.8591967
4288000000,3.8049526
4296000000,4.0538483
4304000000,4.0335498
4312000000,3.6571488
4320000000,4.0622454
4328000000,4.1604595
4336000000,4.2219925
4344000000,4.7675405
4352000000,4.9293137
4360000000,5.1073079
4368000000,5.2769065
4376000000,5.3985033
4384000000,5.8893824
4392000000,6.1831656
4400000000,6.3567886
4408000000,7.0096822
4416000000,6.8090024
4424000000,7.0924053
4432000000,7.3344007
4440000000,7.4620795
4448000000,7.928916
4456000000,8.3615732
4464000000,8.5148144
4472000000,8.7227421
4480000000,8.9441442
4488000000,8.9656715
4496000000,8.9627533
4504000000,9.5030613
4512000000,9.3444214
4520000000,9.5182333
4528000000,9.9949884
4536000000,9.7293854
4544000000,10.006144
4552000000,10.047419
4560000000,9.9576025
4568000000,10.094417
4576000000,10.395307
4584000000,10.421211
4592000000,10.746593
4600000000,10.793379
4608000000,10.772882
4616000000,11.039607
4624000000,11.190984
4632000000,11.279146
4640000000,11.708428
4648000000,11.818242
4656000000,11.941202
4664000000,12.282715
4672000000,12.207882
4680000000,12.181602
4688000000,12.394438
4696000000,12.057846
4704000000,12.247623
4712000000,12.43582
4720000000,12.413003
4728000000,12.675819
4736000000,12.374118
4744000000,12.575238
4752000000,12.487652
4760000000,12.67901
4768000000,12.574854
4776000000,12.47487
4784000000,12.319558
4792000000,12.091737
4800000000,12.213868
4808000000,12.031031
4816000000,11.693692
4824000000,12.015003
4832000000,12.00087
4840000000,11.89327
4848000000,12.213939
4856000000,12.031851
4864000000,11.886306
4872000000,12.124356
4880000000,11.955822
4888000000,11.984868
4896000000,11.976936
4904000000,12.284477
4912000000,12.336181
4920000000,12.496135
4928000000,12.819845
4936000000,12.665758
4944000000,12.851392
4952000000,13.038103
4960000000,12.68095
4968000000,12.869215
4976000000,12.633961
4984000000,12.625218
4992000000,12.787593
5000000000,12.755375
5008000000,12.620022
5016000000,13.141583
5024000000,12.973825
5032000000,12.856816
5040000000,13.033271
5048000000,12.786466
5056000000,12.578546
5064000000,12.56643
5072000000,12.509043
5080000000,12.395729
5088000000,12.220175
5096000000,12.495809
5104000000,12.315034
5112000000,12.51763
5120000000,12.631576
5128000000,12.601609
5136000000,12.503826
5144000000,12.65342
5152000000,12.850015
5160000000,12.861336
5168000000,12.631348
5176000000,12.80658
5184000000,12.902504
5192000000,12.659892
5200000000,12.779692
5208000000,12.977349
5216000000,12.734261
5224000000,12.893819
5232000000,12.98403
5240000000,12.911016
5248000000,12.900803
5256000000,13.036471
5264000000,13.015045
5272000000,12.889662
5280000000,13.034038
5288000000,13.162409
5296000000,12.747293
5304000000,13.015194
5312000000,13.057804
5320000000,12.774706
5328000000,12.81194
5336000000,13.147521
5344000000,12.819369
5352000000,12.710471
5360000000,12.972197
5368000000,12.764747
5376000000,12.684497
5384000000,12.768918
5392000000,12.994124
5400000000,12.967958
5408000000,13.134837
5416000000,13.102859
5424000000,13.025443
5432000000,13.076791
5440000000,13.275175
5448000000,13.131157
5456000000,13.08391
5464000000,13.328779
5472000000,13.608541
5480000000,13.455141
5488000000,13.878577
5496000000,13.959985
5504000000,14.023708
5512000000,14.150559
5520000000,14.153933
5528000000,14.415792
5536000000,14.458105
5544000000,14.134243
5552000000,14.52658
5560000000,14.592115
