!CSV A.01.01
!Keysight Technologies,N5222B,MY57181453,A.13.95.07
!Date: Tuesday, August 15, 2023 08:12:48
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB)
3000000000,-16.571493
3009000000,-11.512781
3018000000,-8.7871857
3027000000,-23.972961
3036000000,-11.317065
3045000000,-14.270335
3054000000,-14.491845
3063000000,-8.8656368
3072000000,-12.494355
3081000000,-9.9256926
3090000000,-8.6771231
3099000000,-12.090443
3108000000,-10.081853
3117000000,-9.4614992
3126000000,-12.996028
3135000000,-7.9194236
3144000000,-7.6629934
3153000000,-10.316657
3162000000,-6.3756266
3171000000,-5.03756
3180000000,-11.928405
3189000000,-7.6340723
3198000000,-7.0711656
3207000000,-16.514616
3216000000,-12.607026
3225000000,-14.752748
3234000000,-29.184828
3243000000,-15.688681
3252000000,-16.151274
3261000000,-15.280594
3270000000,-11.333357
3279000000,-11.583565
3288000000,-11.931369
3297000000,-10.935578
3306000000,-12.957498
3315000000,-11.151667
3324000000,-10.615786
3333000000,-12.197762
3342000000,-9.6424303
3351000000,-9.1294003
3360000000,-13.152648
3369000000,-10.870343
3378000000,-10.528733
3387000000,-17.413059
3396000000,-11.272853
3405000000,-11.363211
3414000000,-14.89489
3423000000,-10.284997
3432000000,-12.686981
3441000000,-13.782162
3450000000,-9.5970011
3459000000,-12.607326
3468000000,-14.311897
3477000000,-11.028234
3486000000,-15.23844
3495000000,-14.716015
3504000000,-11.899711
3513000000,-14.125017
3522000000,-12.292541
3531000000,-11.091406
3540000000,-12.007921
3549000000,-12.861089
3558000000,-11.802377
3567000000,-14.701506
3576000000,-13.389012
3585000000,-12.558233
3594000000,-12.790929
3603000000,-11.206094
3612000000,-9.7955523
3621000000,-10.757513
3630000000,-13.402924
3639000000,-12.469853
3648000000,-14.387404
3657000000,-16.961115
3666000000,-15.244864
3675000000,-22.685976
3684000000,-22.213263
3693000000,-17.770273
3702000000,-22.662163
3711000000,-16.251211
3720000000,-13.845818
3729000000,-17.853045
3738000000,-17.32007
3747000000,-17.365055
3756000000,-26.553068
3765000000,-15.246897
3774000000,-15.050179
3783000000,-18.755211
3792000000,-15.881577
3801000000,-16.3363
3810000000,-19.066643
3819000000,-13.897582
3828000000,-12.578127
3837000000,-10.684462
3846000000,-10.036012
3855000000,-9.6769352
3864000000,-10.394803
3873000000,-10.40814
3882000000,-9.9438887
3891000000,-9.0184851
3900000000,-10.15111
3909000000,-11.581319
3918000000,-8.1824274
3927000000,-9.1004734
3936000000,-9.1298952
3945000000,-7.2924895
3954000000,-9.2010117
3963000000,-10.276452
3972000000,-7.7861857
3981000000,-7.7553945
3990000000,-7.763649
3999000000,-6.9672918
4008000000,-7.3046355
4017000000,-9.5642309
4026000000,-9.3454113
4035000000,-9.422677
4044000000,-10.736509
4053000000,-11.686528
4062000000,-12.57916
4071000000,-14.029113
4080000000,-16.102396
4089000000,-15.075696
4098000000,-14.075801
4107000000,-16.891508
4116000000,-13.865928
4125000000,-11.37852
4134000000,-13.84408
4143000000,-10.31456
4152000000,-8.924778
4161000000,-10.189792
4170000000,-7.9229875
4179000000,-6.1048517
4188000000,-6.9033618
4197000000,-6.6898723
4206000000,-5.8012218
4215000000,-5.7957401
4224000000,-6.4458232
4233000000,-6.1456509
4242000000,-6.0241308
4251000000,-6.7523389
4260000000,-4.9375753
4269000000,-4.0113935
4278000000,-4.4878645
4287000000,-3.7200515
4296000000,-3.102345
4305000000,-4.0803967
4314000000,-4.6020522
4323000000,-4.2888641
4332000000,-5.6334867
4341000000,-3.9309669
4350000000,-2.7867715
4359000000,-2.9564962
4368000000,-2.3760302
4377000000,-2.0624957
4386000000,-2.0834923
4395000000,-1.9126534
4404000000,-1.262833
4413000000,-1.1228722
4422000000,-1.0581952
