!CSV A.01.01
!Keysight Technologies,N5222B,MY57181453,A.13.95.07
!Date: Saturday, August 12, 2023 09:19:47
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB)
3000000000,-4.2765708
3009000000,-4.4140353
3018000000,-4.2217164
3027000000,-4.5721226
3036000000,-4.3163137
3045000000,-5.565578
3054000000,-3.8735607
3063000000,-4.1252637
3072000000,-6.9436235
3081000000,-4.0323582
3090000000,-5.446506
3099000000,-8.1327858
3108000000,-4.5656071
3117000000,-6.8575583
3126000000,-6.8426709
3135000000,-5.3950911
3144000000,-8.3759069
3153000000,-7.1101274
3162000000,-6.4432969
3171000000,-8.0516253
3180000000,-7.6546063
3189000000,-6.5691295
3198000000,-7.5880651
3207000000,-6.3662157
3216000000,-5.8125248
3225000000,-5.858861
3234000000,-4.7008681
3243000000,-3.8438718
3252000000,-5.1033745
3261000000,-4.3279591
3270000000,-3.6781068
3279000000,-4.8052106
3288000000,-4.2877703
3297000000,-4.4325132
3306000000,-7.0190578
3315000000,-7.1667233
3324000000,-6.0652895
3333000000,-8.4204845
3342000000,-7.6612821
3351000000,-7.191853
3360000000,-7.5858111
3369000000,-7.3803163
3378000000,-6.8778677
3387000000,-7.8503184
3396000000,-8.4107199
3405000000,-8.2887154
3414000000,-8.9658165
3423000000,-9.257762
3432000000,-9.8888817
3441000000,-11.893194
3450000000,-13.90563
3459000000,-13.914343
3468000000,-17.548109
3477000000,-14.782465
3486000000,-13.527607
3495000000,-14.273738
3504000000,-10.658175
3513000000,-12.002608
3522000000,-12.705747
3531000000,-10.249176
3540000000,-12.855985
3549000000,-12.346901
3558000000,-11.703844
3567000000,-11.724064
3576000000,-10.802378
3585000000,-10.847749
3594000000,-10.828211
3603000000,-10.874929
3612000000,-10.161155
3621000000,-9.5995665
3630000000,-10.313303
3639000000,-7.7218294
3648000000,-7.4277649
3657000000,-7.2736855
3666000000,-6.4078021
3675000000,-8.0595398
3684000000,-8.3411751
3693000000,-8.7073221
3702000000,-9.6084194
3711000000,-7.6268363
3720000000,-7.0510964
3729000000,-7.7272558
3738000000,-5.901228
3747000000,-6.2221909
3756000000,-8.0338154
3765000000,-6.7612619
3774000000,-7.058743
3783000000,-7.0871282
3792000000,-5.9146638
3801000000,-5.8070717
3810000000,-7.0003939
3819000000,-5.6641974
3828000000,-6.0115452
3837000000,-7.279603
3846000000,-6.174737
3855000000,-7.9382234
3864000000,-10.485155
3873000000,-9.0815115
3882000000,-11.917253
3891000000,-11.457985
3900000000,-9.9197178
3909000000,-13.106086
3918000000,-10.795859
3927000000,-9.8138962
3936000000,-10.326324
3945000000,-9.0739517
3954000000,-8.9372883
3963000000,-9.7028475
3972000000,-10.661897
3981000000,-9.1069374
3990000000,-10.512957
3999000000,-11.026855
4008000000,-8.514245
4017000000,-10.619862
4026000000,-11.368899
4035000000,-8.2846041
4044000000,-10.495119
4053000000,-8.9195995
4062000000,-7.0594559
4071000000,-9.3519468
4080000000,-7.1380091
4089000000,-7.4784684
4098000000,-9.2882242
4107000000,-9.32722
4116000000,-9.5115128
4125000000,-11.51951
4134000000,-11.245934
4143000000,-11.186518
4152000000,-14.432296
4161000000,-12.613845
4170000000,-12.392586
4179000000,-15.196964
4188000000,-12.613356
4197000000,-12.153839
4206000000,-13.929582
4215000000,-11.092002
4224000000,-10.674945
4233000000,-17.680891
4242000000,-13.377506
4251000000,-13.938367
4260000000,-19.598812
4269000000,-14.290384
4278000000,-17.512863
4287000000,-22.123549
4296000000,-15.01027
4305000000,-20.739815
4314000000,-18.882992
4323000000,-15.06366
4332000000,-19.659685
4341000000,-12.667623
4350000000,-12.935601
4359000000,-13.705229
4368000000,-10.362534
4377000000,-11.145216
4386000000,-10.014445
4395000000,-10.092169
4404000000,-10.199067
4413000000,-9.3348455
4422000000,-9.0061951
4431000000,-7.8632355
4440000000,-8.9304953
4449000000,-9.4780254
4458000000,-7.4232702
4467000000,-9.0298395
4476000000,-8.4517231
4485000000,-7.1874294
4494000000,-10.407289
4503000000,-7.8741698
4512000000,-7.6494179
4521000000,-9.1733675
4530000000,-5.7428207
4539000000,-7.4608383
4548000000,-8.1159334
4557000000,-6.0919938
4566000000,-7.4130607
4575000000,-5.6218686
4584000000,-5.1522226
4593000000,-6.0828905
4602000000,-4.2612839
4611000000,-4.9063177
4620000000,-4.9434257
4629000000,-4.0833259
4638000000,-4.6930957
4647000000,-5.0748553
4656000000,-4.6452823
4665000000,-4.8922076
4674000000,-5.3582306
4683000000,-5.3793063
4692000000,-5.8514085
4701000000,-5.5011396
4710000000,-4.8015404
4719000000,-4.6790228
4728000000,-3.8500292
4737000000,-3.3454294
4746000000,-2.5890839
4755000000,-2.2640395
4764000000,-2.0710077
4773000000,-1.7004664
4782000000,-2.1306756
4791000000,-1.5152858
4800000000,-1.4020776
4809000000,-1.7391932
4818000000,-1.089799
4827000000,-1.6043959
4836000000,-1.1633964
4845000000,-0.71909136
4854000000,-1.1561073
4863000000,-0.27621925
4872000000,-0.88633835
4881000000,-0.4759765
4890000000,-0.29162487
4899000000,-0.52002978
4908000000,-0.24770671
4917000000,-0.084591396
4926000000,-0.19528754
4935000000,-0.44602153
4944000000,-0.65325767
4953000000,-0.52174973
4962000000,-0.57965505
4971000000,-0.63029468
4980000000,-0.59777409
4989000000,-0.37118745
4998000000,-0.98821032
5007000000,-0.20133813
5016000000,-0.66105467
5025000000,-1.1223661
5034000000,-0.027560944
5043000000,-0.41021013
5052000000,-0.17715366
5061000000,0.17324886
5070000000,0.15553954
5079000000,0.18660076
5088000000,0.85219842
5097000000,0.78721464
5106000000,1.0805949
5115000000,0.93689728
5124000000,1.2310144
5133000000,1.1408581
5142000000,1.034312
5151000000,1.3334248
5160000000,1.2667731
5169000000,1.1862501
5178000000,0.93514657
5187000000,1.4643139
5196000000,1.5100844
5205000000,1.4550833
5214000000,1.6018457
5223000000,1.2568798
