!CSV A.01.01
!Keysight Technologies,N5222B,MY57181453,A.13.95.07
!Date: Monday, August 14, 2023 00:39:15
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB)
3000000000,-6.0861893
3009000000,-6.3373637
3018000000,-5.9010997
3027000000,-6.6404915
3036000000,-6.5234065
3045000000,-5.9339838
3054000000,-4.3362904
3063000000,-5.7170324
3072000000,-5.5410514
3081000000,-4.6776376
3090000000,-6.2087216
3099000000,-4.9661555
3108000000,-5.1594033
3117000000,-5.0104365
3126000000,-3.7214069
3135000000,-5.0688949
3144000000,-2.6505218
3153000000,-2.7017448
3162000000,-3.061291
3171000000,-1.6469785
3180000000,-1.9892292
3189000000,-3.6428571
3198000000,-4.2310395
3207000000,-4.2234893
3216000000,-6.4468923
3225000000,-7.8962822
3234000000,-5.7509995
3243000000,-9.2223864
3252000000,-9.1911068
3261000000,-6.985117
3270000000,-10.578042
3279000000,-8.8062935
3288000000,-7.7308307
3297000000,-8.6706219
3306000000,-6.8760128
3315000000,-6.4127989
3324000000,-5.9383593
3333000000,-5.1320219
3342000000,-5.0518322
3351000000,-5.1081419
3360000000,-4.6259723
3369000000,-5.3506517
3378000000,-4.7121887
3387000000,-4.4290495
3396000000,-5.1725645
3405000000,-4.7281146
3414000000,-3.7732785
3423000000,-4.2831583
3432000000,-3.9468324
3441000000,-3.1717823
3450000000,-4.1482706
3459000000,-3.9944136
3468000000,-3.2569406
3477000000,-3.3662295
3486000000,-3.9231331
3495000000,-3.8879557
3504000000,-4.1863499
3513000000,-4.6314974
3522000000,-3.6340685
3531000000,-3.5737295
3540000000,-3.7667687
3549000000,-3.1628721
3558000000,-3.8230917
3567000000,-3.5527539
3576000000,-2.8888762
3585000000,-3.3536887
3594000000,-2.4311628
3603000000,-2.4326594
3612000000,-2.7200007
3621000000,-1.7747778
3630000000,-1.7134484
3639000000,-1.8268379
3648000000,-1.2407904
3657000000,-1.5150279
3666000000,-1.9177256
3675000000,-1.5278535
3684000000,-2.4498177
3693000000,-3.2129695
3702000000,-2.5861962
3711000000,-3.0263011
3720000000,-2.9502833
3729000000,-1.5300926
3738000000,-1.202605
3747000000,-0.14076383
3756000000,0.51305544
3765000000,0.81489229
3774000000,1.1891451
3783000000,1.4430249
3792000000,1.5238688
3801000000,2.0081058
3810000000,1.8379605
3819000000,1.9706565
3828000000,2.5629113
